[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:243  | Unregistered observer. app(#default#app) type(0)
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Publisher | application.cpp:245  | LLHLS Publisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.098] I [OvenMediaEngine:1] Publisher | application.cpp:245  | LLHLS Publisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.099] I [OvenMediaEngine:1] Publisher | application.cpp:245  | WebRTC Publisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.099] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:243  | Unregistered observer. app(#default#app) type(0)
[2025-11-05 05:55:06.099] I [OvenMediaEngine:1] Publisher | application.cpp:245  | WebRTC Publisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.099] I [OvenMediaEngine:1] Publisher | application.cpp:245  | WebRTC Publisher Application has deleted [#default#app] application
[2025-11-05 05:55:06.099] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:73   | [#default#app(0)] Destroyed Mediarouter application. worker(1)
[2025-11-05 05:55:06.099] I [OvenMediaEngine:1] MediaRouter | mediarouter.cpp:101  | Mediarouter has been destroyed. app(#default#app)
[2025-11-05 05:55:06.099] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:179  | Trying to release WebRTC Provider...
[2025-11-05 05:55:06.290] I [OvenMediaEngine:1] Provider | provider.cpp:61   | WebRTCProvider has been stopped.
[2025-11-05 05:55:06.290] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:181  | Trying to release SRT Provider...
[2025-11-05 05:55:06.391] I [OvenMediaEngine:1] Provider | provider.cpp:61   | SrtProvider has been stopped.
[2025-11-05 05:55:06.391] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:182  | Trying to release RTMP Provider...
[2025-11-05 05:55:06.489] I [OvenMediaEngine:1] Provider | provider.cpp:61   | RTMPProvider has been stopped.
[2025-11-05 05:55:06.489] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:183  | Trying to release OVT Provider...
[2025-11-05 05:55:06.489] I [OvenMediaEngine:1] Provider | provider.cpp:61   | OVTProvider has been stopped.
[2025-11-05 05:55:06.489] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:184  | Trying to release RTSPC Provider...
[2025-11-05 05:55:06.489] I [OvenMediaEngine:1] Provider | provider.cpp:61   | RTSPCProvider has been stopped.
[2025-11-05 05:55:06.489] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:185  | Trying to release File Provider...
[2025-11-05 05:55:06.489] I [OvenMediaEngine:1] Provider | provider.cpp:61   | FileProvider has been stopped.
